method,sequence,run_id,frame_id,dynamic_map_points,suppressed_map_points,observed_unique_map_points,effective_dynamic_map_points,evidence_suppressed_map_points
Semantic,fr3_walking_xyz,run_03,112,0,0,713,117,0
Semantic,fr3_walking_xyz,run_03,113,0,0,674,107,0
Semantic,fr3_walking_xyz,run_03,114,0,0,689,118,0
Semantic,fr3_walking_xyz,run_03,115,0,0,701,131,0
Semantic,fr3_walking_xyz,run_03,116,0,0,722,118,0
Semantic,fr3_walking_xyz,run_03,117,0,0,702,109,0
Semantic,fr3_walking_xyz,run_03,118,0,0,714,104,0
Semantic,fr3_walking_xyz,run_03,119,0,0,696,106,0
Semantic,fr3_walking_xyz,run_03,120,0,0,700,94,0
Semantic,fr3_walking_xyz,run_03,121,0,0,710,88,0
Semantic,fr3_walking_xyz,run_03,122,0,0,713,96,0
Semantic,fr3_walking_xyz,run_03,123,0,0,698,143,0
Semantic,fr3_walking_xyz,run_03,124,0,0,704,143,0
Semantic,fr3_walking_xyz,run_03,125,0,0,700,142,0
Semantic,fr3_walking_xyz,run_03,126,0,0,708,144,0
Semantic,fr3_walking_xyz,run_03,127,0,0,701,163,0
Semantic,fr3_walking_xyz,run_03,128,0,0,728,148,0
Semantic,fr3_walking_xyz,run_03,129,0,0,728,148,0
Semantic,fr3_walking_xyz,run_03,130,0,0,741,139,0
Semantic,fr3_walking_xyz,run_03,131,0,0,716,116,0
Semantic,fr3_walking_xyz,run_03,132,0,0,718,117,0
Semantic,fr3_walking_xyz,run_03,133,0,0,636,100,0
Semantic,fr3_walking_xyz,run_03,134,0,0,639,84,0
Semantic,fr3_walking_xyz,run_03,135,0,0,664,135,0
Semantic,fr3_walking_xyz,run_03,136,0,0,644,123,0
Semantic,fr3_walking_xyz,run_03,137,0,0,624,108,0
Semantic,fr3_walking_xyz,run_03,138,0,0,661,162,0
Semantic,fr3_walking_xyz,run_03,139,0,0,668,142,0
Semantic,fr3_walking_xyz,run_03,140,0,0,664,107,0
Semantic,fr3_walking_xyz,run_03,141,0,0,747,39,0
Semantic,fr3_walking_xyz,run_03,142,0,0,697,58,0
Semantic,fr3_walking_xyz,run_03,143,0,0,703,109,0
Semantic,fr3_walking_xyz,run_03,144,0,0,701,98,0
Semantic,fr3_walking_xyz,run_03,145,0,0,657,81,0
Semantic,fr3_walking_xyz,run_03,146,0,0,701,55,0
Semantic,fr3_walking_xyz,run_03,147,0,0,711,49,0
Semantic,fr3_walking_xyz,run_03,148,0,0,760,77,0
Semantic,fr3_walking_xyz,run_03,149,0,0,692,52,0
Semantic,fr3_walking_xyz,run_03,150,0,0,694,90,0
Semantic,fr3_walking_xyz,run_03,151,0,0,701,77,0
Semantic,fr3_walking_xyz,run_03,152,0,0,707,68,0
Semantic,fr3_walking_xyz,run_03,153,0,0,738,65,0
Semantic,fr3_walking_xyz,run_03,154,0,0,678,41,0
Semantic,fr3_walking_xyz,run_03,155,0,0,695,56,0
Semantic,fr3_walking_xyz,run_03,156,0,0,780,56,0
Semantic,fr3_walking_xyz,run_03,157,0,0,821,60,0
Semantic,fr3_walking_xyz,run_03,158,0,0,779,88,0
Semantic,fr3_walking_xyz,run_03,159,0,0,852,165,0
Semantic,fr3_walking_xyz,run_03,160,0,0,849,186,0
Semantic,fr3_walking_xyz,run_03,161,0,0,817,211,0
Semantic,fr3_walking_xyz,run_03,162,0,0,870,319,0
Semantic,fr3_walking_xyz,run_03,163,0,0,903,317,0
Semantic,fr3_walking_xyz,run_03,164,0,0,950,372,0
Semantic,fr3_walking_xyz,run_03,165,0,0,895,386,0
Semantic,fr3_walking_xyz,run_03,166,0,0,964,392,0
Semantic,fr3_walking_xyz,run_03,167,0,0,948,436,0
Semantic,fr3_walking_xyz,run_03,168,0,0,946,414,0
Semantic,fr3_walking_xyz,run_03,169,0,0,949,480,0
Semantic,fr3_walking_xyz,run_03,170,0,0,985,519,0
Semantic,fr3_walking_xyz,run_03,171,0,0,1001,477,0
Semantic,fr3_walking_xyz,run_03,172,0,0,1004,583,0
Semantic,fr3_walking_xyz,run_03,173,0,0,1004,579,0
Semantic,fr3_walking_xyz,run_03,174,0,0,916,614,0
Semantic,fr3_walking_xyz,run_03,175,0,0,901,620,0
Semantic,fr3_walking_xyz,run_03,176,0,0,884,570,0
Semantic,fr3_walking_xyz,run_03,177,0,0,843,509,0
Semantic,fr3_walking_xyz,run_03,178,0,0,847,486,0
Semantic,fr3_walking_xyz,run_03,179,0,0,867,429,0
Semantic,fr3_walking_xyz,run_03,180,0,0,872,305,0
Semantic,fr3_walking_xyz,run_03,181,0,0,896,260,0
Semantic,fr3_walking_xyz,run_03,182,0,0,875,192,0
Semantic,fr3_walking_xyz,run_03,183,0,0,893,0,0
Semantic,fr3_walking_xyz,run_03,184,0,0,918,0,0
Semantic,fr3_walking_xyz,run_03,185,0,0,914,0,0
Semantic,fr3_walking_xyz,run_03,186,0,0,903,0,0
Semantic,fr3_walking_xyz,run_03,187,0,0,914,0,0
Semantic,fr3_walking_xyz,run_03,188,0,0,908,0,0
Semantic,fr3_walking_xyz,run_03,189,0,0,910,0,0
Semantic,fr3_walking_xyz,run_03,190,0,0,912,0,0
Semantic,fr3_walking_xyz,run_03,191,0,0,933,0,0
Semantic,fr3_walking_xyz,run_03,192,0,0,948,0,0
Semantic,fr3_walking_xyz,run_03,193,0,0,1001,0,0
Semantic,fr3_walking_xyz,run_03,194,0,0,995,0,0
Semantic,fr3_walking_xyz,run_03,195,0,0,1050,0,0
Semantic,fr3_walking_xyz,run_03,196,0,0,1100,0,0
Semantic,fr3_walking_xyz,run_03,197,0,0,1231,0,0
Semantic,fr3_walking_xyz,run_03,198,0,0,1268,76,0
Semantic,fr3_walking_xyz,run_03,199,0,0,1325,206,0
Semantic,fr3_walking_xyz,run_03,200,0,0,1264,176,0
Semantic,fr3_walking_xyz,run_03,201,0,0,1309,141,0
Semantic,fr3_walking_xyz,run_03,202,0,0,1257,137,0
Semantic,fr3_walking_xyz,run_03,203,0,0,1234,163,0
Semantic,fr3_walking_xyz,run_03,204,0,0,1343,198,0
Semantic,fr3_walking_xyz,run_03,205,0,0,1356,334,0
Semantic,fr3_walking_xyz,run_03,206,0,0,1310,484,0
Semantic,fr3_walking_xyz,run_03,207,0,0,1443,371,0
Semantic,fr3_walking_xyz,run_03,208,0,0,1398,339,0
Semantic,fr3_walking_xyz,run_03,209,0,0,1370,372,0
Semantic,fr3_walking_xyz,run_03,210,0,0,1596,451,0
Semantic,fr3_walking_xyz,run_03,211,0,0,1648,424,0
Semantic,fr3_walking_xyz,run_03,212,0,0,1599,443,0
Semantic,fr3_walking_xyz,run_03,213,0,0,1565,401,0
Semantic,fr3_walking_xyz,run_03,214,0,0,1652,390,0
Semantic,fr3_walking_xyz,run_03,215,0,0,1675,400,0
Semantic,fr3_walking_xyz,run_03,216,0,0,1619,479,0
Semantic,fr3_walking_xyz,run_03,217,0,0,1693,478,0
Semantic,fr3_walking_xyz,run_03,218,0,0,1712,461,0
Semantic,fr3_walking_xyz,run_03,219,0,0,1698,400,0
Semantic,fr3_walking_xyz,run_03,220,0,0,1694,460,0
Semantic,fr3_walking_xyz,run_03,221,0,0,1746,593,0
Semantic,fr3_walking_xyz,run_03,222,0,0,1752,534,0
Semantic,fr3_walking_xyz,run_03,223,0,0,1754,515,0
Semantic,fr3_walking_xyz,run_03,224,0,0,1707,467,0
Semantic,fr3_walking_xyz,run_03,225,0,0,1750,429,0
Semantic,fr3_walking_xyz,run_03,226,0,0,1779,395,0
Semantic,fr3_walking_xyz,run_03,227,0,0,1802,394,0
Semantic,fr3_walking_xyz,run_03,228,0,0,1790,420,0
Semantic,fr3_walking_xyz,run_03,229,0,0,1791,389,0
Semantic,fr3_walking_xyz,run_03,230,0,0,1796,430,0
Semantic,fr3_walking_xyz,run_03,231,0,0,1750,486,0
Semantic,fr3_walking_xyz,run_03,232,0,0,1759,526,0
Semantic,fr3_walking_xyz,run_03,233,0,0,1760,583,0
Semantic,fr3_walking_xyz,run_03,234,0,0,1720,611,0
Semantic,fr3_walking_xyz,run_03,235,0,0,1716,600,0
Semantic,fr3_walking_xyz,run_03,236,0,0,1712,575,0
Semantic,fr3_walking_xyz,run_03,237,0,0,1707,554,0
Semantic,fr3_walking_xyz,run_03,238,0,0,1715,520,0
Semantic,fr3_walking_xyz,run_03,239,0,0,1697,490,0
Semantic,fr3_walking_xyz,run_03,240,0,0,1729,476,0
Semantic,fr3_walking_xyz,run_03,241,0,0,1755,453,0
Semantic,fr3_walking_xyz,run_03,242,0,0,1736,378,0
Semantic,fr3_walking_xyz,run_03,243,0,0,1742,364,0
Semantic,fr3_walking_xyz,run_03,244,0,0,1771,346,0
Semantic,fr3_walking_xyz,run_03,245,0,0,1712,350,0
Semantic,fr3_walking_xyz,run_03,246,0,0,1697,294,0
Semantic,fr3_walking_xyz,run_03,247,0,0,1796,286,0
Semantic,fr3_walking_xyz,run_03,248,0,0,1834,204,0
Semantic,fr3_walking_xyz,run_03,249,0,0,1824,170,0
Semantic,fr3_walking_xyz,run_03,250,0,0,1825,0,0
Semantic,fr3_walking_xyz,run_03,251,0,0,1824,0,0
Semantic,fr3_walking_xyz,run_03,252,0,0,1791,0,0
Semantic,fr3_walking_xyz,run_03,253,0,0,1801,0,0
Semantic,fr3_walking_xyz,run_03,254,0,0,1829,0,0
Semantic,fr3_walking_xyz,run_03,255,0,0,1832,0,0
Semantic,fr3_walking_xyz,run_03,256,0,0,1784,0,0
Semantic,fr3_walking_xyz,run_03,257,0,0,1740,0,0
Semantic,fr3_walking_xyz,run_03,258,0,0,1755,0,0
Semantic,fr3_walking_xyz,run_03,259,0,0,1697,0,0
Semantic,fr3_walking_xyz,run_03,260,0,0,1625,0,0
Semantic,fr3_walking_xyz,run_03,261,0,0,1631,0,0
Semantic,fr3_walking_xyz,run_03,262,0,0,1610,0,0
Semantic,fr3_walking_xyz,run_03,263,0,0,1564,0,0
Semantic,fr3_walking_xyz,run_03,264,0,0,1476,0,0
Semantic,fr3_walking_xyz,run_03,265,0,0,1522,0,0
Semantic,fr3_walking_xyz,run_03,266,0,0,1501,0,0
Semantic,fr3_walking_xyz,run_03,267,0,0,1466,0,0
Semantic,fr3_walking_xyz,run_03,268,0,0,1490,0,0
Semantic,fr3_walking_xyz,run_03,269,0,0,1500,0,0
Semantic,fr3_walking_xyz,run_03,270,0,0,1441,0,0
Semantic,fr3_walking_xyz,run_03,271,0,0,1476,0,0
Semantic,fr3_walking_xyz,run_03,272,0,0,1478,0,0
Semantic,fr3_walking_xyz,run_03,273,0,0,1422,0,0
Semantic,fr3_walking_xyz,run_03,274,0,0,1463,0,0
Semantic,fr3_walking_xyz,run_03,275,0,0,1475,0,0
Semantic,fr3_walking_xyz,run_03,276,0,0,1507,0,0
Semantic,fr3_walking_xyz,run_03,277,0,0,1562,0,0
Semantic,fr3_walking_xyz,run_03,278,0,0,1607,0,0
Semantic,fr3_walking_xyz,run_03,279,0,0,1600,0,0
Semantic,fr3_walking_xyz,run_03,280,0,0,1542,0,0
Semantic,fr3_walking_xyz,run_03,281,0,0,1538,0,0
Semantic,fr3_walking_xyz,run_03,282,0,0,1513,0,0
Semantic,fr3_walking_xyz,run_03,283,0,0,1496,0,0
Semantic,fr3_walking_xyz,run_03,284,0,0,1524,0,0
Semantic,fr3_walking_xyz,run_03,285,0,0,1532,0,0
Semantic,fr3_walking_xyz,run_03,286,0,0,1498,0,0
Semantic,fr3_walking_xyz,run_03,287,0,0,1482,0,0
Semantic,fr3_walking_xyz,run_03,288,0,0,1468,0,0
Semantic,fr3_walking_xyz,run_03,289,0,0,1477,0,0
Semantic,fr3_walking_xyz,run_03,290,0,0,1423,0,0
Semantic,fr3_walking_xyz,run_03,291,0,0,1367,0,0
Semantic,fr3_walking_xyz,run_03,292,0,0,1356,0,0
Semantic,fr3_walking_xyz,run_03,293,0,0,1368,0,0
Semantic,fr3_walking_xyz,run_03,294,0,0,1338,0,0
Semantic,fr3_walking_xyz,run_03,295,0,0,1306,0,0
Semantic,fr3_walking_xyz,run_03,296,0,0,1290,0,0
Semantic,fr3_walking_xyz,run_03,297,0,0,1255,0,0
Semantic,fr3_walking_xyz,run_03,298,0,0,1239,0,0
Semantic,fr3_walking_xyz,run_03,299,0,0,1190,0,0
Semantic,fr3_walking_xyz,run_03,300,0,0,1192,0,0
Semantic,fr3_walking_xyz,run_03,301,0,0,1212,0,0
Semantic,fr3_walking_xyz,run_03,302,0,0,1197,0,0
Semantic,fr3_walking_xyz,run_03,303,0,0,1213,0,0
Semantic,fr3_walking_xyz,run_03,304,0,0,1237,0,0
Semantic,fr3_walking_xyz,run_03,305,0,0,1287,0,0
Semantic,fr3_walking_xyz,run_03,306,0,0,964,0,0
Semantic,fr3_walking_xyz,run_03,307,0,0,1008,0,0
Semantic,fr3_walking_xyz,run_03,308,0,0,1041,0,0
Semantic,fr3_walking_xyz,run_03,309,0,0,1038,0,0
Semantic,fr3_walking_xyz,run_03,310,0,0,1110,0,0
Semantic,fr3_walking_xyz,run_03,311,0,0,1129,0,0
Semantic,fr3_walking_xyz,run_03,312,0,0,1172,0,0
Semantic,fr3_walking_xyz,run_03,313,0,0,1194,0,0
Semantic,fr3_walking_xyz,run_03,314,0,0,1241,0,0
Semantic,fr3_walking_xyz,run_03,315,0,0,1241,0,0
Semantic,fr3_walking_xyz,run_03,316,0,0,1331,0,0
Semantic,fr3_walking_xyz,run_03,317,0,0,1381,0,0
Semantic,fr3_walking_xyz,run_03,318,0,0,1405,0,0
Semantic,fr3_walking_xyz,run_03,319,0,0,1403,0,0
Semantic,fr3_walking_xyz,run_03,320,0,0,1435,0,0
Semantic,fr3_walking_xyz,run_03,321,0,0,1495,0,0
Semantic,fr3_walking_xyz,run_03,322,0,0,1519,0,0
Semantic,fr3_walking_xyz,run_03,323,0,0,1545,0,0
Semantic,fr3_walking_xyz,run_03,324,0,0,1532,0,0
Semantic,fr3_walking_xyz,run_03,325,0,0,1546,0,0
Semantic,fr3_walking_xyz,run_03,326,0,0,1503,0,0
Semantic,fr3_walking_xyz,run_03,327,0,0,1561,0,0
Semantic,fr3_walking_xyz,run_03,328,0,0,1564,0,0
Semantic,fr3_walking_xyz,run_03,329,0,0,1602,0,0
Semantic,fr3_walking_xyz,run_03,330,0,0,1605,0,0
Semantic,fr3_walking_xyz,run_03,331,0,0,1599,0,0
Semantic,fr3_walking_xyz,run_03,332,0,0,1587,0,0
Semantic,fr3_walking_xyz,run_03,333,0,0,1563,0,0
Semantic,fr3_walking_xyz,run_03,334,0,0,1565,0,0
Semantic,fr3_walking_xyz,run_03,335,0,0,1573,0,0
Semantic,fr3_walking_xyz,run_03,336,0,0,1577,0,0
Semantic,fr3_walking_xyz,run_03,337,0,0,1575,0,0
Semantic,fr3_walking_xyz,run_03,338,0,0,1598,0,0
Semantic,fr3_walking_xyz,run_03,339,0,0,1600,0,0
Semantic,fr3_walking_xyz,run_03,340,0,0,1618,0,0
Semantic,fr3_walking_xyz,run_03,341,0,0,1662,0,0
Semantic,fr3_walking_xyz,run_03,342,0,0,1681,0,0
Semantic,fr3_walking_xyz,run_03,343,0,0,1630,0,0
Semantic,fr3_walking_xyz,run_03,344,0,0,1622,0,0
Semantic,fr3_walking_xyz,run_03,345,0,0,1636,0,0
Semantic,fr3_walking_xyz,run_03,346,0,0,1598,0,0
Semantic,fr3_walking_xyz,run_03,347,0,0,1604,0,0
Semantic,fr3_walking_xyz,run_03,348,0,0,1633,0,0
Semantic,fr3_walking_xyz,run_03,349,0,0,1613,0,0
Semantic,fr3_walking_xyz,run_03,350,0,0,1588,0,0
Semantic,fr3_walking_xyz,run_03,351,0,0,1600,0,0
Semantic,fr3_walking_xyz,run_03,352,0,0,1594,0,0
Semantic,fr3_walking_xyz,run_03,353,0,0,1577,0,0
Semantic,fr3_walking_xyz,run_03,354,0,0,1588,0,0
Semantic,fr3_walking_xyz,run_03,355,0,0,1599,48,0
Semantic,fr3_walking_xyz,run_03,356,0,0,1613,0,0
Semantic,fr3_walking_xyz,run_03,357,0,0,1444,42,0
Semantic,fr3_walking_xyz,run_03,358,0,0,1429,20,0
Semantic,fr3_walking_xyz,run_03,359,0,0,1462,16,0
Semantic,fr3_walking_xyz,run_03,360,0,0,1430,23,0
Semantic,fr3_walking_xyz,run_03,361,0,0,1412,0,0
Semantic,fr3_walking_xyz,run_03,362,0,0,1445,0,0
Semantic,fr3_walking_xyz,run_03,363,0,0,1452,0,0
Semantic,fr3_walking_xyz,run_03,364,0,0,1451,0,0
Semantic,fr3_walking_xyz,run_03,365,0,0,1459,0,0
Semantic,fr3_walking_xyz,run_03,366,0,0,1495,0,0
Semantic,fr3_walking_xyz,run_03,367,0,0,1535,0,0
Semantic,fr3_walking_xyz,run_03,368,0,0,1478,0,0
Semantic,fr3_walking_xyz,run_03,369,0,0,1519,0,0
Semantic,fr3_walking_xyz,run_03,370,0,0,1546,16,0
Semantic,fr3_walking_xyz,run_03,371,0,0,1519,0,0
Semantic,fr3_walking_xyz,run_03,372,0,0,1581,0,0
Semantic,fr3_walking_xyz,run_03,373,0,0,1616,0,0
Semantic,fr3_walking_xyz,run_03,374,0,0,1586,0,0
Semantic,fr3_walking_xyz,run_03,375,0,0,1631,0,0
Semantic,fr3_walking_xyz,run_03,376,0,0,1593,0,0
Semantic,fr3_walking_xyz,run_03,377,0,0,1648,0,0
Semantic,fr3_walking_xyz,run_03,378,0,0,1676,0,0
Semantic,fr3_walking_xyz,run_03,379,0,0,1599,0,0
Semantic,fr3_walking_xyz,run_03,380,0,0,1708,0,0
Semantic,fr3_walking_xyz,run_03,381,0,0,1763,0,0
Semantic,fr3_walking_xyz,run_03,382,0,0,1868,0,0
Semantic,fr3_walking_xyz,run_03,383,0,0,1895,0,0
Semantic,fr3_walking_xyz,run_03,384,0,0,1902,0,0
Semantic,fr3_walking_xyz,run_03,385,0,0,2034,0,0
Semantic,fr3_walking_xyz,run_03,386,0,0,1993,0,0
Semantic,fr3_walking_xyz,run_03,387,0,0,1992,0,0
Semantic,fr3_walking_xyz,run_03,388,0,0,1909,0,0
Semantic,fr3_walking_xyz,run_03,389,0,0,2085,246,0
Semantic,fr3_walking_xyz,run_03,390,0,0,2067,229,0
Semantic,fr3_walking_xyz,run_03,391,0,0,2101,375,0
Semantic,fr3_walking_xyz,run_03,392,0,0,2209,263,0
Semantic,fr3_walking_xyz,run_03,393,0,0,1995,0,0
Semantic,fr3_walking_xyz,run_03,394,0,0,1956,427,0
Semantic,fr3_walking_xyz,run_03,395,0,0,2158,483,0
Semantic,fr3_walking_xyz,run_03,396,0,0,2092,720,0
Semantic,fr3_walking_xyz,run_03,397,0,0,1874,487,0
Semantic,fr3_walking_xyz,run_03,398,0,0,1762,403,0
Semantic,fr3_walking_xyz,run_03,399,0,0,1784,437,0
Semantic,fr3_walking_xyz,run_03,400,0,0,1851,398,0
Semantic,fr3_walking_xyz,run_03,401,0,0,1839,430,0
Semantic,fr3_walking_xyz,run_03,402,0,0,1846,373,0
Semantic,fr3_walking_xyz,run_03,403,0,0,1910,356,0
Semantic,fr3_walking_xyz,run_03,404,0,0,1857,337,0
Semantic,fr3_walking_xyz,run_03,405,0,0,2067,363,0
Semantic,fr3_walking_xyz,run_03,406,0,0,2082,322,0
Semantic,fr3_walking_xyz,run_03,407,0,0,1888,256,0
Semantic,fr3_walking_xyz,run_03,408,0,0,2135,280,0
Semantic,fr3_walking_xyz,run_03,409,0,0,2328,252,0
Semantic,fr3_walking_xyz,run_03,410,0,0,2275,214,0
Semantic,fr3_walking_xyz,run_03,411,0,0,2131,263,0
Semantic,fr3_walking_xyz,run_03,412,0,0,2058,284,0
Semantic,fr3_walking_xyz,run_03,413,0,0,2027,418,0
Semantic,fr3_walking_xyz,run_03,414,0,0,1966,444,0
Semantic,fr3_walking_xyz,run_03,415,0,0,2041,596,0
Semantic,fr3_walking_xyz,run_03,416,0,0,2220,746,0
Semantic,fr3_walking_xyz,run_03,417,0,0,2012,634,0
Semantic,fr3_walking_xyz,run_03,418,0,0,2253,722,0
Semantic,fr3_walking_xyz,run_03,419,0,0,1987,603,0
Semantic,fr3_walking_xyz,run_03,420,0,0,2010,523,0
Semantic,fr3_walking_xyz,run_03,421,0,0,2244,484,0
Semantic,fr3_walking_xyz,run_03,422,0,0,2170,573,0
Semantic,fr3_walking_xyz,run_03,423,0,0,2295,552,0
Semantic,fr3_walking_xyz,run_03,424,0,0,2375,600,0
Semantic,fr3_walking_xyz,run_03,425,0,0,2387,638,0
