sequence,sample_order,frame_id,timestamp,association_row,rgb_relative_path,rgb_source,minimum_valid_projections,semantic_unique_projections,temporal_unique_projections,selection_rule,preview_projection_source,preview_visible_mappoints,context_frame_ids
fr3_walking_xyz,1,2,1341846313.686156,2,rgb/1341846313.686156.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846313.686156.png,20,447,449,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,447,0;1;2;3;4
fr3_walking_xyz,22,445,1341846329.169991,445,rgb/1341846329.169991.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846329.169991.png,20,2105,1135,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2102,443;444;445;446;447
fr3_walking_xyz,23,466,1341846329.942009,466,rgb/1341846329.942009.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846329.942009.png,20,2274,2196,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2271,464;465;466;467;468
fr3_walking_xyz,24,487,1341846330.652136,487,rgb/1341846330.652136.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846330.652136.png,20,1976,2205,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1973,485;486;487;488;489
fr3_walking_xyz,25,508,1341846331.450327,508,rgb/1341846331.450327.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846331.450327.png,20,2343,2140,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2339,506;507;508;509;510
fr3_walking_xyz,26,529,1341846332.153983,529,rgb/1341846332.153983.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846332.153983.png,20,2207,1637,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2204,527;528;529;530;531
fr3_walking_xyz,27,550,1341846332.894069,550,rgb/1341846332.894069.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846332.894069.png,20,2758,1832,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2756,548;549;550;551;552
fr3_walking_xyz,28,571,1341846333.594090,571,rgb/1341846333.594090.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846333.594090.png,20,2325,1685,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2325,569;570;571;572;573
fr3_walking_xyz,29,592,1341846334.297946,592,rgb/1341846334.297946.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846334.297946.png,20,1441,1225,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1441,590;591;592;593;594
fr3_walking_xyz,30,613,1341846335.069990,613,rgb/1341846335.069990.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846335.069990.png,20,2211,1197,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2211,611;612;613;614;615
fr3_walking_xyz,31,634,1341846335.773960,634,rgb/1341846335.773960.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846335.773960.png,20,3071,1395,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,3067,632;633;634;635;636
fr3_walking_xyz,32,655,1341846336.510056,655,rgb/1341846336.510056.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846336.510056.png,20,2900,1332,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2899,653;654;655;656;657
fr3_walking_xyz,33,676,1341846337.250087,676,rgb/1341846337.250087.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846337.250087.png,20,2014,2220,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2013,674;675;676;677;678
fr3_walking_xyz,34,698,1341846337.985994,698,rgb/1341846337.985994.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846337.985994.png,20,4127,1851,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,4124,696;697;698;699;700
fr3_walking_xyz,35,719,1341846338.690198,719,rgb/1341846338.690198.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846338.690198.png,20,3882,2120,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,3878,717;718;719;720;721
fr3_walking_xyz,36,740,1341846339.394725,740,rgb/1341846339.394725.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846339.394725.png,20,3923,1855,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,3922,738;739;740;741;742
fr3_walking_xyz,37,761,1341846340.166041,761,rgb/1341846340.166041.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846340.166041.png,20,3233,1375,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,3230,759;760;761;762;763
fr3_walking_xyz,38,782,1341846340.870013,782,rgb/1341846340.870013.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846340.870013.png,20,3328,1109,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,3323,780;781;782;783;784
fr3_walking_xyz,39,803,1341846341.574016,803,rgb/1341846341.574016.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846341.574016.png,20,3822,1364,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,3820,801;802;803;804;805
fr3_walking_xyz,40,824,1341846342.347894,824,rgb/1341846342.347894.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_xyz/rgb/1341846342.347894.png,20,4699,1304,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,4696,822;823;824;825;826
fr3_walking_rpy,1,2,1341846647.866652,2,rgb/1341846647.866652.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846647.866652.png,20,448,448,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,448,0;1;2;3;4
fr3_walking_rpy,2,15,1341846648.302183,15,rgb/1341846648.302183.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846648.302183.png,20,313,347,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,313,13;14;15;16;17
fr3_walking_rpy,3,28,1341846648.738116,28,rgb/1341846648.738116.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846648.738116.png,20,449,425,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,449,26;27;28;29;30
fr3_walking_rpy,4,52,1341846649.552101,52,rgb/1341846649.552101.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846649.552101.png,20,459,77,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,459,50;51;52;53;54
fr3_walking_rpy,5,67,1341846650.146137,67,rgb/1341846650.146137.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846650.146137.png,20,554,492,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,554,65;66;67;68;69
fr3_walking_rpy,6,80,1341846650.582069,80,rgb/1341846650.582069.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846650.582069.png,20,671,663,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,671,78;79;80;81;82
fr3_walking_rpy,7,93,1341846651.050482,93,rgb/1341846651.050482.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846651.050482.png,20,583,618,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,583,91;92;93;94;95
fr3_walking_rpy,8,106,1341846651.560316,106,rgb/1341846651.560316.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846651.560316.png,20,657,645,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,657,104;105;106;107;108
fr3_walking_rpy,9,118,1341846651.990020,118,rgb/1341846651.990020.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846651.990020.png,20,596,717,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,596,116;117;118;119;120
fr3_walking_rpy,10,131,1341846652.426287,131,rgb/1341846652.426287.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846652.426287.png,20,755,734,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,755,129;130;131;132;133
fr3_walking_rpy,11,200,1341846654.806040,200,rgb/1341846654.806040.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846654.806040.png,20,761,1574,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,760,198;199;200;201;202
fr3_walking_rpy,12,214,1341846655.274211,214,rgb/1341846655.274211.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846655.274211.png,20,725,1356,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,719,212;213;214;215;216
fr3_walking_rpy,13,356,1341846660.334349,356,rgb/1341846660.334349.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846660.334349.png,20,906,2053,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,906,354;355;356;357;358
fr3_walking_rpy,14,369,1341846660.770121,369,rgb/1341846660.770121.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846660.770121.png,20,1335,1998,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1334,367;368;369;370;371
fr3_walking_rpy,15,382,1341846661.206205,382,rgb/1341846661.206205.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846661.206205.png,20,939,1825,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,939,380;381;382;383;384
fr3_walking_rpy,16,395,1341846661.642253,395,rgb/1341846661.642253.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846661.642253.png,20,1190,2201,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1189,393;394;395;396;397
fr3_walking_rpy,17,408,1341846662.110672,408,rgb/1341846662.110672.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846662.110672.png,20,930,1508,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,930,406;407;408;409;410
fr3_walking_rpy,18,421,1341846662.546261,421,rgb/1341846662.546261.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846662.546261.png,20,881,1043,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,880,419;420;421;422;423
fr3_walking_rpy,19,433,1341846663.018208,433,rgb/1341846663.018208.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846663.018208.png,20,733,746,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,732,431;432;433;434;435
fr3_walking_rpy,20,446,1341846663.486091,446,rgb/1341846663.486091.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846663.486091.png,20,910,879,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,907,444;445;446;447;448
fr3_walking_rpy,21,459,1341846663.921987,459,rgb/1341846663.921987.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846663.921987.png,20,1222,1323,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1222,457;458;459;460;461
fr3_walking_rpy,22,472,1341846664.358302,472,rgb/1341846664.358302.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846664.358302.png,20,1722,2016,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1722,470;471;472;473;474
fr3_walking_rpy,23,484,1341846664.758141,484,rgb/1341846664.758141.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846664.758141.png,20,1939,1857,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1939,482;483;484;485;486
fr3_walking_rpy,24,497,1341846665.194100,497,rgb/1341846665.194100.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846665.194100.png,20,1913,1737,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1913,495;496;497;498;499
fr3_walking_rpy,25,510,1341846665.666289,510,rgb/1341846665.666289.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846665.666289.png,20,1794,1389,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1794,508;509;510;511;512
fr3_walking_rpy,26,523,1341846666.134147,523,rgb/1341846666.134147.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846666.134147.png,20,1336,1296,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1336,521;522;523;524;525
fr3_walking_rpy,27,536,1341846666.570131,536,rgb/1341846666.570131.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846666.570131.png,20,1235,1291,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1235,534;535;536;537;538
fr3_walking_rpy,28,548,1341846667.006200,548,rgb/1341846667.006200.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846667.006200.png,20,1092,1047,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1092,546;547;548;549;550
fr3_walking_rpy,29,561,1341846667.442109,561,rgb/1341846667.442109.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846667.442109.png,20,1471,1405,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1471,559;560;561;562;563
fr3_walking_rpy,30,574,1341846667.878139,574,rgb/1341846667.878139.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846667.878139.png,20,2097,1560,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2097,572;573;574;575;576
fr3_walking_rpy,31,587,1341846668.314248,587,rgb/1341846668.314248.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846668.314248.png,20,1891,1598,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1888,585;586;587;588;589
fr3_walking_rpy,32,600,1341846668.746132,600,rgb/1341846668.746132.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846668.746132.png,20,1434,882,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,1432,598;599;600;601;602
fr3_walking_rpy,33,612,1341846669.150086,612,rgb/1341846669.150086.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846669.150086.png,20,2386,1004,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2382,610;611;612;613;614
fr3_walking_rpy,34,625,1341846669.617976,625,rgb/1341846669.617976.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846669.617976.png,20,2936,1139,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2933,623;624;625;626;627
fr3_walking_rpy,35,638,1341846670.054135,638,rgb/1341846670.054135.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846670.054135.png,20,2373,2094,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2370,636;637;638;639;640
fr3_walking_rpy,36,651,1341846670.566977,651,rgb/1341846670.566977.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846670.566977.png,20,2593,1974,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2593,649;650;651;652;653
fr3_walking_rpy,37,664,1341846671.000270,664,rgb/1341846671.000270.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846671.000270.png,20,2127,1742,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,2127,662;663;664;665;666
fr3_walking_rpy,38,709,1341846672.608881,709,rgb/1341846672.608881.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846672.608881.png,20,114,121,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,114,707;708;709;710;711
fr3_walking_rpy,39,727,1341846673.306107,727,rgb/1341846673.306107.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846673.306107.png,20,994,1212,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,993,725;726;727;728;729
fr3_walking_rpy,40,756,1341846674.378058,756,rgb/1341846674.378058.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_rpy/rgb/1341846674.378058.png,20,49,2412,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,49,754;755;756;757;758
fr3_walking_halfsphere,1,2,1341846434.778203,2,rgb/1341846434.778203.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/rgb/1341846434.778203.png,20,432,433,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,432,0;1;2;3;4
fr3_walking_halfsphere,2,13,1341846435.146181,13,rgb/1341846435.146181.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/rgb/1341846435.146181.png,20,681,719,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,681,11;12;13;14;15
fr3_walking_halfsphere,3,25,1341846435.582003,25,rgb/1341846435.582003.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/rgb/1341846435.582003.png,20,542,582,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,540,23;24;25;26;27
fr3_walking_halfsphere,4,36,1341846435.950077,36,rgb/1341846435.950077.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/rgb/1341846435.950077.png,20,515,604,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,515,34;35;36;37;38
fr3_walking_halfsphere,5,48,1341846436.354084,48,rgb/1341846436.354084.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/rgb/1341846436.354084.png,20,662,740,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,661,46;47;48;49;50
fr3_walking_halfsphere,6,59,1341846436.722015,59,rgb/1341846436.722015.png,/home/djn/datasets/TUMRGBD/rgbd_dataset_freiburg3_walking_halfsphere/rgb/1341846436.722015.png,20,677,813,uniform over eligible frames; no prediction/score/GT/image-content selection,Semantic run_01 geometry only; neutral markers,677,57;58;59;60;61
