sequence,frame_id,timestamp,rgb_relative_path,semantic_unique_projections,temporal_unique_projections,context_available,both_ge_20,both_ge_10,both_ge_5,both_ge_1
fr3_walking_xyz,65,1341846315.834140,rgb/1341846315.834140.png,539,541,1,1,1,1,1
fr3_walking_xyz,66,1341846315.866751,rgb/1341846315.866751.png,539,541,1,1,1,1,1
fr3_walking_xyz,67,1341846315.898492,rgb/1341846315.898492.png,569,562,1,1,1,1,1
fr3_walking_xyz,68,1341846315.936901,rgb/1341846315.936901.png,537,471,1,1,1,1,1
fr3_walking_xyz,69,1341846315.966572,rgb/1341846315.966572.png,473,528,1,1,1,1,1
fr3_walking_xyz,70,1341846316.034204,rgb/1341846316.034204.png,530,537,1,1,1,1,1
fr3_walking_xyz,71,1341846316.066113,rgb/1341846316.066113.png,530,490,1,1,1,1,1
fr3_walking_xyz,72,1341846316.101867,rgb/1341846316.101867.png,537,549,1,1,1,1,1
fr3_walking_xyz,73,1341846316.134066,rgb/1341846316.134066.png,567,477,1,1,1,1,1
fr3_walking_xyz,74,1341846316.202049,rgb/1341846316.202049.png,518,485,1,1,1,1,1
fr3_walking_xyz,75,1341846316.233979,rgb/1341846316.233979.png,583,550,1,1,1,1,1
fr3_walking_xyz,76,1341846316.270052,rgb/1341846316.270052.png,562,505,1,1,1,1,1
fr3_walking_xyz,77,1341846316.301915,rgb/1341846316.301915.png,573,525,1,1,1,1,1
fr3_walking_xyz,78,1341846316.334208,rgb/1341846316.334208.png,607,597,1,1,1,1,1
fr3_walking_xyz,79,1341846316.370006,rgb/1341846316.370006.png,603,521,1,1,1,1,1
fr3_walking_xyz,80,1341846316.401994,rgb/1341846316.401994.png,585,564,1,1,1,1,1
fr3_walking_xyz,81,1341846316.438069,rgb/1341846316.438069.png,547,580,1,1,1,1,1
fr3_walking_xyz,82,1341846316.470076,rgb/1341846316.470076.png,532,559,1,1,1,1,1
fr3_walking_xyz,83,1341846316.502034,rgb/1341846316.502034.png,556,606,1,1,1,1,1
fr3_walking_xyz,84,1341846316.537975,rgb/1341846316.537975.png,605,573,1,1,1,1,1
fr3_walking_xyz,85,1341846316.570121,rgb/1341846316.570121.png,628,566,1,1,1,1,1
fr3_walking_xyz,86,1341846316.601885,rgb/1341846316.601885.png,584,559,1,1,1,1,1
fr3_walking_xyz,87,1341846316.638009,rgb/1341846316.638009.png,578,556,1,1,1,1,1
fr3_walking_xyz,88,1341846316.669925,rgb/1341846316.669925.png,608,584,1,1,1,1,1
fr3_walking_xyz,89,1341846316.705941,rgb/1341846316.705941.png,608,557,1,1,1,1,1
fr3_walking_xyz,90,1341846316.738062,rgb/1341846316.738062.png,566,561,1,1,1,1,1
fr3_walking_xyz,91,1341846316.770433,rgb/1341846316.770433.png,587,550,1,1,1,1,1
fr3_walking_xyz,92,1341846316.805932,rgb/1341846316.805932.png,592,570,1,1,1,1,1
fr3_walking_xyz,93,1341846316.838029,rgb/1341846316.838029.png,581,584,1,1,1,1,1
fr3_walking_xyz,94,1341846316.870034,rgb/1341846316.870034.png,507,591,1,1,1,1,1
fr3_walking_xyz,95,1341846316.906344,rgb/1341846316.906344.png,499,595,1,1,1,1,1
fr3_walking_xyz,96,1341846316.937940,rgb/1341846316.937940.png,584,660,1,1,1,1,1
fr3_walking_xyz,97,1341846316.973994,rgb/1341846316.973994.png,539,679,1,1,1,1,1
fr3_walking_xyz,98,1341846317.005913,rgb/1341846317.005913.png,603,655,1,1,1,1,1
fr3_walking_xyz,99,1341846317.037936,rgb/1341846317.037936.png,614,668,1,1,1,1,1
fr3_walking_xyz,100,1341846317.073972,rgb/1341846317.073972.png,622,679,1,1,1,1,1
fr3_walking_xyz,101,1341846317.106113,rgb/1341846317.106113.png,632,692,1,1,1,1,1
fr3_walking_xyz,102,1341846317.137887,rgb/1341846317.137887.png,570,659,1,1,1,1,1
fr3_walking_xyz,103,1341846317.173970,rgb/1341846317.173970.png,669,736,1,1,1,1,1
fr3_walking_xyz,104,1341846317.205887,rgb/1341846317.205887.png,706,770,1,1,1,1,1
fr3_walking_xyz,105,1341846317.248131,rgb/1341846317.248131.png,669,779,1,1,1,1,1
fr3_walking_xyz,106,1341846317.306289,rgb/1341846317.306289.png,713,672,1,1,1,1,1
fr3_walking_xyz,107,1341846317.348137,rgb/1341846317.348137.png,725,762,1,1,1,1,1
fr3_walking_xyz,108,1341846317.410120,rgb/1341846317.410120.png,679,752,1,1,1,1,1
fr3_walking_xyz,109,1341846317.442569,rgb/1341846317.442569.png,618,686,1,1,1,1,1
fr3_walking_xyz,110,1341846317.474010,rgb/1341846317.474010.png,622,747,1,1,1,1,1
fr3_walking_xyz,111,1341846317.509927,rgb/1341846317.509927.png,600,675,1,1,1,1,1
fr3_walking_xyz,112,1341846317.542282,rgb/1341846317.542282.png,618,707,1,1,1,1,1
fr3_walking_xyz,113,1341846317.573943,rgb/1341846317.573943.png,600,695,1,1,1,1,1
fr3_walking_xyz,114,1341846317.610159,rgb/1341846317.610159.png,634,701,1,1,1,1,1
fr3_walking_xyz,115,1341846317.643553,rgb/1341846317.643553.png,651,705,1,1,1,1,1
fr3_walking_xyz,116,1341846317.677993,rgb/1341846317.677993.png,640,703,1,1,1,1,1
fr3_walking_xyz,117,1341846317.709996,rgb/1341846317.709996.png,637,668,1,1,1,1,1
fr3_walking_xyz,118,1341846317.741834,rgb/1341846317.741834.png,643,673,1,1,1,1,1
fr3_walking_xyz,119,1341846317.777923,rgb/1341846317.777923.png,645,669,1,1,1,1,1
fr3_walking_xyz,120,1341846317.810021,rgb/1341846317.810021.png,639,703,1,1,1,1,1
fr3_walking_xyz,121,1341846317.841886,rgb/1341846317.841886.png,622,668,1,1,1,1,1
fr3_walking_xyz,122,1341846317.878017,rgb/1341846317.878017.png,615,673,1,1,1,1,1
fr3_walking_xyz,123,1341846317.909910,rgb/1341846317.909910.png,629,695,1,1,1,1,1
fr3_walking_xyz,124,1341846317.946031,rgb/1341846317.946031.png,647,666,1,1,1,1,1
fr3_walking_xyz,125,1341846317.978041,rgb/1341846317.978041.png,661,708,1,1,1,1,1
fr3_walking_xyz,126,1341846318.009897,rgb/1341846318.009897.png,561,695,1,1,1,1,1
fr3_walking_xyz,127,1341846318.045949,rgb/1341846318.045949.png,552,705,1,1,1,1,1
fr3_walking_xyz,128,1341846318.078074,rgb/1341846318.078074.png,582,714,1,1,1,1,1
fr3_walking_xyz,129,1341846318.109894,rgb/1341846318.109894.png,574,638,1,1,1,1,1
fr3_walking_xyz,130,1341846318.145957,rgb/1341846318.145957.png,588,646,1,1,1,1,1
fr3_walking_xyz,131,1341846318.178001,rgb/1341846318.178001.png,595,645,1,1,1,1,1
fr3_walking_xyz,132,1341846318.214074,rgb/1341846318.214074.png,602,617,1,1,1,1,1
fr3_walking_xyz,133,1341846318.245970,rgb/1341846318.245970.png,574,662,1,1,1,1,1
fr3_walking_xyz,134,1341846318.278018,rgb/1341846318.278018.png,598,677,1,1,1,1,1
fr3_walking_xyz,135,1341846318.313937,rgb/1341846318.313937.png,594,675,1,1,1,1,1
fr3_walking_xyz,136,1341846318.345989,rgb/1341846318.345989.png,588,674,1,1,1,1,1
fr3_walking_xyz,137,1341846318.382046,rgb/1341846318.382046.png,587,650,1,1,1,1,1
fr3_walking_xyz,138,1341846318.414072,rgb/1341846318.414072.png,676,746,1,1,1,1,1
fr3_walking_xyz,139,1341846318.446035,rgb/1341846318.446035.png,669,724,1,1,1,1,1
fr3_walking_xyz,140,1341846318.482196,rgb/1341846318.482196.png,649,699,1,1,1,1,1
fr3_walking_xyz,141,1341846318.514144,rgb/1341846318.514144.png,728,770,1,1,1,1,1
fr3_walking_xyz,142,1341846318.546259,rgb/1341846318.546259.png,702,759,1,1,1,1,1
fr3_walking_xyz,143,1341846318.582042,rgb/1341846318.582042.png,716,765,1,1,1,1,1
fr3_walking_xyz,144,1341846318.614115,rgb/1341846318.614115.png,645,688,1,1,1,1,1
fr3_walking_xyz,145,1341846318.650038,rgb/1341846318.650038.png,659,701,1,1,1,1,1
fr3_walking_xyz,146,1341846318.682350,rgb/1341846318.682350.png,662,648,1,1,1,1,1
fr3_walking_xyz,147,1341846318.714063,rgb/1341846318.714063.png,637,710,1,1,1,1,1
fr3_walking_xyz,148,1341846318.749905,rgb/1341846318.749905.png,651,705,1,1,1,1,1
fr3_walking_xyz,149,1341846318.782036,rgb/1341846318.782036.png,656,705,1,1,1,1,1
fr3_walking_xyz,150,1341846318.814121,rgb/1341846318.814121.png,609,656,1,1,1,1,1
fr3_walking_xyz,151,1341846318.850072,rgb/1341846318.850072.png,608,680,1,1,1,1,1
fr3_walking_xyz,152,1341846318.883516,rgb/1341846318.883516.png,623,697,1,1,1,1,1
fr3_walking_xyz,153,1341846318.918047,rgb/1341846318.918047.png,678,735,1,1,1,1,1
fr3_walking_xyz,154,1341846318.950044,rgb/1341846318.950044.png,605,677,1,1,1,1,1
fr3_walking_xyz,155,1341846318.982028,rgb/1341846318.982028.png,661,696,1,1,1,1,1
fr3_walking_xyz,156,1341846319.018123,rgb/1341846319.018123.png,702,792,1,1,1,1,1
fr3_walking_xyz,157,1341846319.050745,rgb/1341846319.050745.png,712,776,1,1,1,1,1
fr3_walking_xyz,158,1341846319.081905,rgb/1341846319.081905.png,794,748,1,1,1,1,1
fr3_walking_xyz,159,1341846319.117976,rgb/1341846319.117976.png,779,806,1,1,1,1,1
fr3_walking_xyz,160,1341846319.150093,rgb/1341846319.150093.png,745,799,1,1,1,1,1
fr3_walking_xyz,161,1341846319.186069,rgb/1341846319.186069.png,712,863,1,1,1,1,1
fr3_walking_xyz,162,1341846319.218149,rgb/1341846319.218149.png,764,801,1,1,1,1,1
fr3_walking_xyz,163,1341846319.250034,rgb/1341846319.250034.png,762,882,1,1,1,1,1
fr3_walking_xyz,164,1341846319.286594,rgb/1341846319.286594.png,839,882,1,1,1,1,1
fr3_walking_xyz,165,1341846319.318034,rgb/1341846319.318034.png,793,891,1,1,1,1,1
fr3_walking_xyz,166,1341846319.350268,rgb/1341846319.350268.png,865,899,1,1,1,1,1
fr3_walking_xyz,167,1341846319.386163,rgb/1341846319.386163.png,851,881,1,1,1,1,1
fr3_walking_xyz,168,1341846319.418386,rgb/1341846319.418386.png,887,815,1,1,1,1,1
fr3_walking_xyz,169,1341846319.453961,rgb/1341846319.453961.png,759,767,1,1,1,1,1
fr3_walking_xyz,170,1341846319.486271,rgb/1341846319.486271.png,760,813,1,1,1,1,1
fr3_walking_xyz,171,1341846319.554083,rgb/1341846319.554083.png,783,821,1,1,1,1,1
fr3_walking_xyz,172,1341846319.586296,rgb/1341846319.586296.png,779,803,1,1,1,1,1
fr3_walking_xyz,173,1341846319.622031,rgb/1341846319.622031.png,758,803,1,1,1,1,1
fr3_walking_xyz,174,1341846319.653962,rgb/1341846319.653962.png,673,698,1,1,1,1,1
fr3_walking_xyz,175,1341846319.686352,rgb/1341846319.686352.png,703,738,1,1,1,1,1
fr3_walking_xyz,176,1341846319.721992,rgb/1341846319.721992.png,690,727,1,1,1,1,1
fr3_walking_xyz,177,1341846319.754063,rgb/1341846319.754063.png,680,739,1,1,1,1,1
fr3_walking_xyz,178,1341846319.786397,rgb/1341846319.786397.png,690,752,1,1,1,1,1
fr3_walking_xyz,179,1341846319.822008,rgb/1341846319.822008.png,708,747,1,1,1,1,1
fr3_walking_xyz,180,1341846319.853917,rgb/1341846319.853917.png,704,747,1,1,1,1,1
fr3_walking_xyz,181,1341846319.889942,rgb/1341846319.889942.png,729,799,1,1,1,1,1
fr3_walking_xyz,182,1341846319.922039,rgb/1341846319.922039.png,729,812,1,1,1,1,1
fr3_walking_xyz,183,1341846319.953946,rgb/1341846319.953946.png,766,803,1,1,1,1,1
fr3_walking_xyz,184,1341846319.990054,rgb/1341846319.990054.png,759,849,1,1,1,1,1
fr3_walking_xyz,185,1341846320.028122,rgb/1341846320.028122.png,807,893,1,1,1,1,1
fr3_walking_xyz,186,1341846320.090047,rgb/1341846320.090047.png,803,842,1,1,1,1,1
fr3_walking_xyz,187,1341846320.122011,rgb/1341846320.122011.png,758,860,1,1,1,1,1
fr3_walking_xyz,188,1341846320.157952,rgb/1341846320.157952.png,767,895,1,1,1,1,1
fr3_walking_xyz,189,1341846320.190003,rgb/1341846320.190003.png,744,904,1,1,1,1,1
fr3_walking_xyz,190,1341846320.221941,rgb/1341846320.221941.png,761,909,1,1,1,1,1
fr3_walking_xyz,191,1341846320.258015,rgb/1341846320.258015.png,777,949,1,1,1,1,1
fr3_walking_xyz,192,1341846320.289887,rgb/1341846320.289887.png,824,934,1,1,1,1,1
fr3_walking_xyz,193,1341846320.321954,rgb/1341846320.321954.png,881,1030,1,1,1,1,1
fr3_walking_xyz,194,1341846320.357890,rgb/1341846320.357890.png,919,1081,1,1,1,1,1
fr3_walking_xyz,195,1341846320.390064,rgb/1341846320.390064.png,943,1129,1,1,1,1,1
fr3_walking_xyz,196,1341846320.426544,rgb/1341846320.426544.png,991,1199,1,1,1,1,1
fr3_walking_xyz,197,1341846320.458122,rgb/1341846320.458122.png,1128,1339,1,1,1,1,1
fr3_walking_xyz,198,1341846320.490186,rgb/1341846320.490186.png,1123,1319,1,1,1,1,1
fr3_walking_xyz,199,1341846320.525911,rgb/1341846320.525911.png,1254,1453,1,1,1,1,1
fr3_walking_xyz,200,1341846320.558091,rgb/1341846320.558091.png,1169,1344,1,1,1,1,1
fr3_walking_xyz,201,1341846320.594093,rgb/1341846320.594093.png,1228,1388,1,1,1,1,1
fr3_walking_xyz,202,1341846320.631955,rgb/1341846320.631955.png,1126,1281,1,1,1,1,1
fr3_walking_xyz,203,1341846320.664916,rgb/1341846320.664916.png,1289,1396,1,1,1,1,1
fr3_walking_xyz,204,1341846320.699927,rgb/1341846320.699927.png,1219,1342,1,1,1,1,1
fr3_walking_xyz,205,1341846320.731822,rgb/1341846320.731822.png,1361,1448,1,1,1,1,1
fr3_walking_xyz,206,1341846320.763877,rgb/1341846320.763877.png,1349,1442,1,1,1,1,1
fr3_walking_xyz,207,1341846320.799999,rgb/1341846320.799999.png,1350,1479,1,1,1,1,1
fr3_walking_xyz,208,1341846320.831871,rgb/1341846320.831871.png,1397,1418,1,1,1,1,1
fr3_walking_xyz,209,1341846320.863887,rgb/1341846320.863887.png,1373,1556,1,1,1,1,1
fr3_walking_xyz,210,1341846320.900014,rgb/1341846320.900014.png,1488,1567,1,1,1,1,1
fr3_walking_xyz,211,1341846320.931889,rgb/1341846320.931889.png,1446,1662,1,1,1,1,1
fr3_walking_xyz,212,1341846320.967866,rgb/1341846320.967866.png,1545,1623,1,1,1,1,1
fr3_walking_xyz,213,1341846321.000017,rgb/1341846321.000017.png,1532,1591,1,1,1,1,1
fr3_walking_xyz,214,1341846321.031860,rgb/1341846321.031860.png,1481,1712,1,1,1,1,1
fr3_walking_xyz,215,1341846321.068047,rgb/1341846321.068047.png,1574,1684,1,1,1,1,1
fr3_walking_xyz,216,1341846321.099840,rgb/1341846321.099840.png,1599,1818,1,1,1,1,1
fr3_walking_xyz,217,1341846321.131821,rgb/1341846321.131821.png,1587,1742,1,1,1,1,1
fr3_walking_xyz,218,1341846321.167887,rgb/1341846321.167887.png,1643,1835,1,1,1,1,1
fr3_walking_xyz,219,1341846321.200042,rgb/1341846321.200042.png,1637,1837,1,1,1,1,1
fr3_walking_xyz,220,1341846321.231950,rgb/1341846321.231950.png,1632,1848,1,1,1,1,1
fr3_walking_xyz,221,1341846321.267939,rgb/1341846321.267939.png,1698,1864,1,1,1,1,1
fr3_walking_xyz,222,1341846321.299948,rgb/1341846321.299948.png,1710,1851,1,1,1,1,1
fr3_walking_xyz,223,1341846321.331858,rgb/1341846321.331858.png,1651,1827,1,1,1,1,1
fr3_walking_xyz,224,1341846321.367913,rgb/1341846321.367913.png,1701,1887,1,1,1,1,1
fr3_walking_xyz,225,1341846321.399897,rgb/1341846321.399897.png,1691,1875,1,1,1,1,1
fr3_walking_xyz,226,1341846321.435994,rgb/1341846321.435994.png,1737,1947,1,1,1,1,1
fr3_walking_xyz,227,1341846321.467946,rgb/1341846321.467946.png,1819,1935,1,1,1,1,1
fr3_walking_xyz,228,1341846321.499882,rgb/1341846321.499882.png,1841,1956,1,1,1,1,1
fr3_walking_xyz,229,1341846321.536109,rgb/1341846321.536109.png,1830,1998,1,1,1,1,1
fr3_walking_xyz,230,1341846321.568960,rgb/1341846321.568960.png,1754,1963,1,1,1,1,1
fr3_walking_xyz,231,1341846321.603938,rgb/1341846321.603938.png,1682,1978,1,1,1,1,1
fr3_walking_xyz,232,1341846321.637163,rgb/1341846321.637163.png,1647,1907,1,1,1,1,1
fr3_walking_xyz,233,1341846321.668306,rgb/1341846321.668306.png,1651,1899,1,1,1,1,1
fr3_walking_xyz,234,1341846321.704411,rgb/1341846321.704411.png,1592,1931,1,1,1,1,1
fr3_walking_xyz,235,1341846321.736861,rgb/1341846321.736861.png,1581,1934,1,1,1,1,1
fr3_walking_xyz,236,1341846321.771881,rgb/1341846321.771881.png,1584,1915,1,1,1,1,1
fr3_walking_xyz,237,1341846321.804114,rgb/1341846321.804114.png,1583,1884,1,1,1,1,1
fr3_walking_xyz,238,1341846321.836152,rgb/1341846321.836152.png,1592,1921,1,1,1,1,1
fr3_walking_xyz,239,1341846321.871882,rgb/1341846321.871882.png,1607,1941,1,1,1,1,1
fr3_walking_xyz,240,1341846321.904074,rgb/1341846321.904074.png,1578,1917,1,1,1,1,1
fr3_walking_xyz,241,1341846321.939847,rgb/1341846321.939847.png,1581,1903,1,1,1,1,1
fr3_walking_xyz,242,1341846322.004094,rgb/1341846322.004094.png,1572,1915,1,1,1,1,1
fr3_walking_xyz,243,1341846322.066178,rgb/1341846322.066178.png,1552,1913,1,1,1,1,1
fr3_walking_xyz,244,1341846322.107979,rgb/1341846322.107979.png,1548,1925,1,1,1,1,1
fr3_walking_xyz,245,1341846322.166164,rgb/1341846322.166164.png,1554,1915,1,1,1,1,1
fr3_walking_xyz,246,1341846322.202932,rgb/1341846322.202932.png,1636,1979,1,1,1,1,1
fr3_walking_xyz,247,1341846322.234093,rgb/1341846322.234093.png,1618,1981,1,1,1,1,1
fr3_walking_xyz,248,1341846322.265941,rgb/1341846322.265941.png,1628,1947,1,1,1,1,1
fr3_walking_xyz,249,1341846322.301996,rgb/1341846322.301996.png,1640,1943,1,1,1,1,1
fr3_walking_xyz,250,1341846322.333949,rgb/1341846322.333949.png,1691,1969,1,1,1,1,1
fr3_walking_xyz,251,1341846322.369871,rgb/1341846322.369871.png,1702,1998,1,1,1,1,1
fr3_walking_xyz,252,1341846322.402292,rgb/1341846322.402292.png,1705,1985,1,1,1,1,1
fr3_walking_xyz,253,1341846322.433955,rgb/1341846322.433955.png,1738,1964,1,1,1,1,1
fr3_walking_xyz,254,1341846322.470030,rgb/1341846322.470030.png,1823,2020,1,1,1,1,1
fr3_walking_xyz,255,1341846322.502433,rgb/1341846322.502433.png,1784,2002,1,1,1,1,1
fr3_walking_xyz,256,1341846322.534002,rgb/1341846322.534002.png,1725,1981,1,1,1,1,1
fr3_walking_xyz,257,1341846322.570196,rgb/1341846322.570196.png,1741,1940,1,1,1,1,1
fr3_walking_xyz,258,1341846322.601920,rgb/1341846322.601920.png,1732,1950,1,1,1,1,1
fr3_walking_xyz,259,1341846322.638119,rgb/1341846322.638119.png,1689,1904,1,1,1,1,1
fr3_walking_xyz,260,1341846322.669947,rgb/1341846322.669947.png,1644,1802,1,1,1,1,1
fr3_walking_xyz,261,1341846322.702026,rgb/1341846322.702026.png,1629,1795,1,1,1,1,1
fr3_walking_xyz,262,1341846322.738006,rgb/1341846322.738006.png,1645,1798,1,1,1,1,1
fr3_walking_xyz,263,1341846322.770087,rgb/1341846322.770087.png,1599,1766,1,1,1,1,1
fr3_walking_xyz,264,1341846322.806047,rgb/1341846322.806047.png,1472,1663,1,1,1,1,1
fr3_walking_xyz,265,1341846322.838063,rgb/1341846322.838063.png,1511,1672,1,1,1,1,1
fr3_walking_xyz,266,1341846322.870081,rgb/1341846322.870081.png,1507,1626,1,1,1,1,1
fr3_walking_xyz,267,1341846322.906018,rgb/1341846322.906018.png,1465,1594,1,1,1,1,1
fr3_walking_xyz,268,1341846322.938349,rgb/1341846322.938349.png,1476,1600,1,1,1,1,1
fr3_walking_xyz,269,1341846322.970069,rgb/1341846322.970069.png,1502,1590,1,1,1,1,1
fr3_walking_xyz,270,1341846323.011820,rgb/1341846323.011820.png,1436,1574,1,1,1,1,1
fr3_walking_xyz,271,1341846323.073951,rgb/1341846323.073951.png,1467,1588,1,1,1,1,1
fr3_walking_xyz,272,1341846323.105962,rgb/1341846323.105962.png,1461,1573,1,1,1,1,1
fr3_walking_xyz,273,1341846323.138158,rgb/1341846323.138158.png,1460,1583,1,1,1,1,1
fr3_walking_xyz,274,1341846323.174092,rgb/1341846323.174092.png,1457,1609,1,1,1,1,1
fr3_walking_xyz,275,1341846323.206059,rgb/1341846323.206059.png,1448,1631,1,1,1,1,1
fr3_walking_xyz,276,1341846323.238053,rgb/1341846323.238053.png,1479,1657,1,1,1,1,1
fr3_walking_xyz,277,1341846323.273997,rgb/1341846323.273997.png,1529,1631,1,1,1,1,1
fr3_walking_xyz,278,1341846323.305946,rgb/1341846323.305946.png,1596,1704,1,1,1,1,1
